#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
44000,-34989.21850382502,300.8592859568236,26.86314911317495,0.9877746397489154
45000,-35298.057264405594,308.2559770324612,26.86521433371718,0.987698706147502
46000,-35589.38480416566,310.11123739526613,26.685102554542407,0.9943652037144212
47000,-35526.18905784606,291.96148071957094,27.149377924603368,0.9773607893144917
48000,-35570.043371362495,298.77172816456954,26.453648898497654,1.0030653064006885
49000,-35210.449040988286,300.601091133719,27.06264423496037,0.9804931553402819
50000,-35386.979185888806,301.5555729477273,26.711085840194436,0.9933979320997394
51000,-35676.31723158021,293.41573412610893,26.785973216037213,0.9906206216132923
52000,-35503.949340680934,292.3747235423136,26.970611658750077,0.9838389196923948
53000,-35318.78134321974,301.4229103529572,27.108675658010384,0.9788282457076429
54000,-35444.13371777654,290.9436466075453,26.82480052982735,0.9891867567955618
55000,-35194.076645555615,292.6453647083995,26.84167849205481,0.9885647593030412
56000,-35716.869424831966,304.8370496856329,26.89161081320282,0.9867291930597247
57000,-35320.62216877518,297.56833070456145,27.070017646573497,0.9802260857094983
58000,-35607.670732876635,291.87976932194346,27.25291140948936,0.9736478073512722
59000,-35567.98572677627,301.0940533971817,27.139113747174854,0.9777304330930856
60000,-35551.32328896277,293.5415008528993,26.68369459896772,0.9944176710377394
61000,-35526.66244960867,301.89782769747666,27.119816214775703,0.9784261525832485
62000,-35370.13457788993,310.6057465923175,27.3161310417387,0.9713944261448683
63000,-35507.10463403768,296.43758302799415,27.140373431890747,0.9776850530217346
64000,-35337.21838082062,291.50247715826526,27.134514378727896,0.9778961608610801
65000,-35566.65271179046,296.86462639258804,26.996204575555414,0.9829062216328927
66000,-35497.973538507475,302.60505049703755,26.952558909229037,0.9844978922836827
67000,-34923.84353807685,289.4040928528874,27.048268670369907,0.9810142660574548
68000,-35354.70698351445,303.6217315715934,26.662173393279804,0.9952203463081468
69000,-35243.28515228012,303.9597165418432,26.787651226121923,0.9905585679685307
70000,-35695.76692907489,305.5117354519399,27.064667848078983,0.9804198443052826
71000,-35091.34000372293,294.2970691554704,27.128630978847823,0.9781082376945931
72000,-35412.760859206785,289.45886419241816,27.31127232386354,0.9715672387259214
73000,-35233.1698134692,284.79563589655334,27.180801250553188,0.9762308768306727
74000,-35484.05757053767,299.65454055151724,27.241301273132212,0.9740627722493821
75000,-35532.56818556736,306.37218608561255,26.278083696050114,1.0097668363000245
76000,-35778.46592207631,314.55907301753075,27.080576592557602,0.9798438872634704
77000,-35903.29824391191,291.78022218865,26.58837357748297,0.9979827220518442
78000,-35761.883590223006,304.86268861056936,26.77932430102255,0.9908665782420272
79000,-35408.08345199903,300.46702168936037,27.597727071101286,0.9614827108560471
80000,-35261.019399432116,297.5333293083814,27.359471292376004,0.9698556362520776
81000,-35384.60679502375,300.77731908466455,26.85757095251134,0.9879797947739063
82000,-35731.60027722834,302.5299256682233,27.046149210921918,0.9810911428038853
83000,-35580.49871075404,293.3101043305838,27.001954605722748,0.9826969130658437
84000,-35351.40413615666,307.0968499367137,27.698621960374012,0.957980417789329
85000,-35383.18639288249,302.2901762086489,26.88212749697077,0.9870772854856026
