#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
43000,-35233.53362238724,306.1430725017379,27.115465520485273,0.97858314170344
44000,-35336.95906017406,305.4694004675357,27.53384882108305,0.9637133409939319
45000,-35214.68707029801,310.24462543161184,27.463125239568733,0.96619511458793
46000,-35555.50783632384,301.2008765217048,26.857979128807738,0.9879647798715708
47000,-35556.576706128806,294.0511554715067,26.98449166830621,0.9833328625920841
48000,-35567.2114650119,298.057081990232,26.841437054607027,0.9885736513959633
49000,-35055.82187834189,304.73595816716545,27.110326220383808,0.9787686515493402
50000,-35258.73388728529,306.7463636535831,26.87186982971608,0.987454077663197
51000,-35316.46275857652,301.0308761568825,26.80441986452309,0.9899388821657639
52000,-35458.34634955776,305.8905546127914,26.9682220357981,0.9839260965207534
53000,-35385.81082879576,290.59772335969876,26.866633032280813,0.9876465504965118
54000,-35743.97136496736,303.236389499799,26.801066095498243,0.9900627588185682
55000,-35604.894530898804,291.92872242738787,26.527729270909763,1.0002641826899865
56000,-35302.10053796034,289.7655504140394,27.154290830790867,0.9771839597335182
57000,-35440.538894003505,301.7148750875182,26.950245798183474,0.9845823906947929
58000,-35250.13843855921,295.348380935354,27.218381379861263,0.9748830052554374
59000,-35566.37532218544,301.59346596995096,27.334481907086275,0.9707422854394337
60000,-35268.115203277106,300.5357644401657,26.837368305427788,0.9887235266813102
61000,-35169.44039891137,307.3143251940235,26.828180850106133,0.9890621203890837
62000,-35103.167897491054,296.3136094859055,27.14668585431281,0.9774577117881296
63000,-35414.4962997649,313.4926003291184,27.101427441076194,0.9790900311608861
64000,-35289.22026134557,300.07115413694237,27.135590639649685,0.9778573752146765
65000,-35386.753768279326,318.75373195569466,27.443143333391973,0.9668986207385775
66000,-35350.56113606825,294.3317239001034,26.857877951902083,0.9879685016555295
67000,-35537.025365023175,291.7607896682662,26.855267328363535,0.9880645429197712
68000,-35654.6657301271,301.0140406990466,27.086173001839484,0.9796414368314693
69000,-35710.73196273779,299.27522533066957,26.95621257606865,0.9843644526436535
70000,-35753.53481483001,304.8097686776139,27.000620544058915,0.9827454667009999
71000,-35669.438813706925,295.60809729343475,26.90803305189097,0.9861269824745902
72000,-35491.227652374946,298.18446250088584,26.935598073494322,0.9851178119523174
73000,-35471.044782487945,306.12189851357687,27.173646769229954,0.9764879062104524
74000,-35429.60297288883,293.47057022746884,27.38953613547579,0.9687910487618355
