group,r_nm,g_r
CWLD_aq0p5_charge_weighted_density,0.15500000000000003,0.0
CWLD_aq0p5_charge_weighted_density,0.165,0.0
CWLD_aq0p5_charge_weighted_density,0.175,0.0
CWLD_aq0p5_charge_weighted_density,0.185,0.0
CWLD_aq0p5_charge_weighted_density,0.195,0.0
CWLD_aq0p5_charge_weighted_density,0.20500000000000002,0.0
CWLD_aq0p5_charge_weighted_density,0.21500000000000002,0.0
CWLD_aq0p5_charge_weighted_density,0.225,0.0
CWLD_aq0p5_charge_weighted_density,0.23500000000000001,0.7502581609938715
CWLD_aq0p5_charge_weighted_density,0.245,1.9436573495142002
CWLD_aq0p5_charge_weighted_density,0.255,0.8048845813592033
CWLD_aq0p5_charge_weighted_density,0.265,0.34159207404979164
CWLD_aq0p5_charge_weighted_density,0.275,0.07209168035807828
CWLD_aq0p5_charge_weighted_density,0.28500000000000003,0.013424376096223205
CWLD_aq0p5_charge_weighted_density,0.29500000000000004,0.0
CWLD_aq0p5_charge_weighted_density,0.30500000000000005,0.0
CWLD_aq0p5_charge_weighted_density,0.315,0.010989319632682553
CWLD_aq0p5_charge_weighted_density,0.325,0.0
CWLD_aq0p5_charge_weighted_density,0.33499999999999996,0.0
CWLD_aq0p5_charge_weighted_density,0.345,0.0
CWLD_aq0p5_charge_weighted_density,0.355,0.008652526989287467
CWLD_aq0p5_charge_weighted_density,0.365,0.02455481952451536
CWLD_aq0p5_charge_weighted_density,0.375,0.023262766920949928
CWLD_aq0p5_charge_weighted_density,0.385,0.058853527405434626
CWLD_aq0p5_charge_weighted_density,0.395,0.11881189431540914
CWLD_aq0p5_charge_weighted_density,0.405,0.1196654504850494
CWLD_aq0p5_charge_weighted_density,0.41500000000000004,0.2405995302432448
CWLD_aq0p5_charge_weighted_density,0.42500000000000004,0.30185647302542834
CWLD_aq0p5_charge_weighted_density,0.43500000000000005,0.2996636667989759
CWLD_aq0p5_charge_weighted_density,0.44500000000000006,0.34141435480268467
CWLD_aq0p5_charge_weighted_density,0.455,0.3055034396549324
CWLD_aq0p5_charge_weighted_density,0.46499999999999997,0.32780766078653245
CWLD_aq0p5_charge_weighted_density,0.475,0.30931793336914504
CWLD_aq0p5_charge_weighted_density,0.485,0.2874227974894074
CWLD_aq0p5_charge_weighted_density,0.495,0.2848283350531546
CWLD_aq0p5_charge_weighted_density,0.505,0.2693841179491885
CWLD_aq0p5_charge_weighted_density,0.515,0.20557499400839516
CWLD_aq0p5_charge_weighted_density,0.525,0.1701238112830242
CWLD_aq0p5_charge_weighted_density,0.535,0.167633515785003
CWLD_aq0p5_charge_weighted_density,0.545,0.1652097637293585
CWLD_aq0p5_charge_weighted_density,0.555,0.18055139399105016
CWLD_aq0p5_charge_weighted_density,0.5650000000000001,0.2186251530725427
CWLD_aq0p5_charge_weighted_density,0.575,0.18470122538600592
CWLD_aq0p5_charge_weighted_density,0.585,0.1880001040462898
CWLD_aq0p5_charge_weighted_density,0.595,0.27106091705975405
