Time (ps),Density (g/ml),Protein RMSD (nm),Protein Dipole (Debye),Ca-Total Protein O CN (0.3nm),Ca-Carboxylate O CN
386.00000115082264,1.0178074576141547,0.20292059,,25,19
387.000001153804,1.0189151057477646,0.2014287,,25,19
388.00000115678546,1.0205296508225516,0.20250082,,25,19
389.00000115976684,1.0227030643664536,0.20558389,,25,19
390.0000011627483,1.0212375638275377,0.20259054,,25,19
391.00000116572966,1.0208290928293973,0.20812261,,25,19
392.0000011687111,1.0210381669897852,0.20462498,,25,19
393.0000011716925,1.0188956962888982,0.20123014,,25,19
394.00000117467386,1.0204865450257914,0.19760607,,25,19
395.0000011776553,1.0161458575608942,0.20188537,,25,19
396.0000011806367,1.0169588070506348,0.20242348,,25,19
397.0000011836181,1.0185521780036833,0.20504925,,25,19
398.0000011865995,1.0179313526130198,0.20683618,,25,19
399.0000011895809,1.0207057789938025,0.20435289,,25,19
400.0000011925623,1.023618282122109,0.20196211,,25,19
401.00000119554375,1.0213878033851747,0.20741633,,25,19
402.0000011985251,1.0219611419250492,0.20367758,,25,19
403.0000012015065,1.022206876908122,0.20692845,,25,19
404.00000120448794,1.0219835260952703,0.20104161,,25,19
405.0000012074693,1.0205073091004437,0.20183356,,25,19
406.00000121045076,1.0209192901509299,0.19948283,,25,19
407.00000121343214,1.0201995853902786,0.20322864,,25,19
408.0000012164136,1.019810837435925,0.2001901,,25,19
409.00000121939496,1.0213178107130312,0.20199671,,24,18
410.0000012223764,1.0179397352418975,0.19702552,,19,15
411.0000012253578,1.0198163520727022,0.20017047,,25,19
412.00000122833916,1.0201084220252707,0.2096262,,25,19
413.0000012313206,1.0225267400694296,0.20445089,,25,19
414.000001234302,1.0201294385523323,0.20065603,,25,19
415.0000012372834,1.0193430259173635,0.20958725,,25,19
416.0000012402648,1.0191895138135771,0.20192698,,25,19
417.00000124324623,1.0191430726359263,0.20612991,,25,19
418.0000012462276,1.01936349652717,0.20125642,,25,19
419.00000124920905,1.0187102821217986,0.19408807,,25,19
420.00000125219043,1.018736242641417,0.20270273,,25,19
421.0000012551718,1.017946022273958,0.20203313,,25,19
422.00000125815325,1.0205945769397062,0.20706347,,25,19
423.0000012611346,1.0176395897104251,0.20359008,,25,19
424.00000126411607,1.0194514214045272,0.20824468,,25,19
425.00000126709745,1.018714215477163,0.20765904,,25,19
426.0000012700789,1.0215728148084282,0.20487824,,25,19
427.00000127306026,1.0194537837048896,0.20613177,,25,19
428.0000012760417,1.0203280732417643,0.19969094,,25,19
429.0000012790231,1.0213738569666215,0.20364961,,25,19
430.00000128200446,1.0233472955819678,0.19950025,,25,19
431.0000012849859,1.021322020617803,0.20353177,,25,19
432.0000012879673,1.0212294080573812,0.20893304,,25,19
433.0000012909487,1.0194330482064051,0.2050736,,26,20
434.0000012939301,1.0201825078524664,0.20402412,,25,19
435.00000129691153,1.0236438817061606,0.2102218,,25,19
436.0000012998929,1.0219703588571483,0.2045478,,25,19
437.00000130287435,1.0226329514953294,0.20589516,,25,19
438.00000130585573,1.0211804752601301,0.20356412,,25,19
439.0000013088371,1.0217897271889924,0.20120032,,25,19
440.00000131181855,1.017422018715641,0.20640144,,25,19
441.00000131479993,1.0193396142023516,0.20178862,,25,19
442.00000131778137,1.0189295320162937,0.20470583,,25,19
443.00000132076275,1.0187776764091274,0.20727932,,25,19
444.0000013237442,1.0189067124077573,0.21036287,,25,19
