#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Elapsed Time (s)"
41000,-35404.6169496245,291.26816159990574,26.879331825300984,0.987179949644848,1.38e+03,4.999635934829712
42000,-35701.596493542136,285.6042139014627,26.78963326737277,0.990485281114489,1.38e+03,5.135164022445679
43000,-35682.56307987924,297.6110544868418,26.763563965503018,0.9914500726431584,1.38e+03,5.265180826187134
44000,-35617.18407359655,293.1505781177996,26.956258886670568,0.984362761514684,1.38e+03,5.399075031280518
45000,-35758.23140780194,310.081425256374,26.68685719488174,0.994299824966908,1.37e+03,5.53351092338562
46000,-35286.05574470016,295.07989019452765,26.911247850134774,0.9860091804570444,1.37e+03,5.667024612426758
47000,-35644.46678033346,308.00917655764397,27.192153619536903,0.9758233131899938,1.37e+03,5.800792694091797
48000,-35519.76251119244,292.4183098971999,26.670891993934955,0.9948950130285056,1.37e+03,5.932461738586426
49000,-35688.184344696056,297.93367622303725,26.938488352526647,0.9850121168843909,1.37e+03,6.054981231689453
50000,-35431.281065731746,300.9996693132861,26.74744997198668,0.9920473714532909,1.37e+03,6.175979375839233
51000,-35369.32436632426,303.9714713084514,26.778063701530623,0.9909132241055603,1.36e+03,6.3375139236450195
52000,-35347.042037811654,299.1404304861471,26.695787242627382,0.9939672202443074,1.36e+03,6.480569124221802
